,Number of positive words,Number of negative words,Average tone ratio,Error in processing PDF
0,30,35,-0.0008223684210526315,False
1,11,19,-0.0018467220683287165,False
2,20,25,-0.0010996261271167802,False
3,12,21,-0.002570694087403599,False
4,12,28,-0.0032212603180994566,False
5,12,21,-0.002570694087403599,False
6,9,30,-0.005189028910303929,False
7,25,50,-0.004305148958153952,False
8,20,95,-0.013295514979613544,False
9,16,55,-0.009265858873841768,False
10,15,47,-0.00709849157054126,False
11,14,43,-0.006956104581434397,False
12,7,12,-0.0028851702250432777,False
13,29,104,-0.010075228371843095,False
14,23,89,-0.012890625,False
15,10,37,-0.007356948228882834,False
16,23,60,-0.008108700416392724,False
17,7,27,-0.0040908161178155045,False
18,27,54,-0.005180353031465848,False
19,34,93,-0.008319232938522278,False
20,18,32,-0.002973661852166525,False
21,33,51,-0.003402646502835539,False
22,29,33,-0.0009722897423432182,False
23,31,78,-0.008739308293045742,False
24,32,53,-0.004657351962741184,False
25,45,64,-0.004191484667990294,False
26,16,42,-0.007168458781362007,False
27,18,29,-0.002810424118548799,False
28,17,43,-0.0060961313012895665,False
29,16,59,-0.011053984575835476,False
30,25,75,-0.008545547769612033,False
31,23,32,-0.00237029233605478,False
32,21,38,-0.0036772658446895955,False
33,17,30,-0.004203039120594891,False
34,20,24,-0.0010937927262783702,False
35,22,36,-0.00288481351741191,False
36,46,27,0.004220346512661039,False
37,14,34,-0.0032462262619704593,False
38,19,19,0.0,False
39,32,33,-0.00020627062706270627,False
40,20,37,-0.003590285110876452,False
41,25,32,-0.0013025679196129512,False
42,12,25,-0.0032098765432098763,False
43,25,60,-0.0060564111437965045,False
44,20,50,-0.0048223758238225365,False
45,25,23,0.000429553264604811,False
46,21,53,-0.0078010726474890294,False
47,13,50,-0.007902605724049551,False
48,45,51,-0.001078167115902965,False
49,30,63,-0.005701451278507256,False
50,40,34,0.0009593859929645027,False
51,38,32,0.0010263427984946972,False
52,20,18,0.00043591979075850045,False
53,44,35,0.0015845070422535212,False
54,17,14,0.0008700696055684454,False
55,23,34,-0.0019345761519521632,False
56,19,20,-0.00022192632046160674,False
57,27,33,-0.0013026487190620929,False
58,34,37,-0.00044742729306487697,False
59,29,54,-0.004119294776734223,False
60,26,47,-0.0035252643948296123,False
61,30,53,-0.003644430359689431,False
62,23,102,-0.013421678559293238,False
63,23,81,-0.008506893517160458,False
64,21,103,-0.011991810470897923,False
65,36,129,-0.009217960154623847,False
66,43,121,-0.007522422605844343,False
67,47,138,-0.00658465991316932,False
68,47,160,-0.008817791650409676,False
69,4,21,-0.010149253731343283,False
70,44,160,-0.01143758627489647,False
71,36,130,-0.011028980405960342,False
72,68,137,-0.00600888269615954,False
73,79,165,-0.006841686555290374,False
74,110,109,6.939143709666228e-05,False
75,129,118,0.0008137900421691204,False
76,111,130,-0.0013689747099935154,False
77,122,85,0.0027157956547269524,False
78,100,121,-0.0015659955257270694,False
79,74,87,-0.001141051522864917,False
80,128,171,-0.0026257938446507083,False
81,73,119,-0.0032619486597645726,False
82,103,123,-0.0010933741526350316,False
83,77,109,-0.0023684405299385686,False
84,63,87,-0.002064516129032258,False
85,46,82,-0.0036976170912078883,False
86,76,139,-0.004049103412815734,False
87,72,171,-0.006155950752393981,False
88,98,164,-0.004114200224410921,False
89,93,133,-0.002424095509363069,False
90,99,149,-0.0028838389664321146,False
91,95,137,-0.002274696707105719,False
92,77,139,-0.003790426117258666,False
93,66,104,-0.0025981129495419118,False
94,108,151,-0.002391280169057947,False
95,86,112,-0.0017628313783985355,False
96,119,140,-0.0010802469135802468,False
97,110,157,-0.0024191887996705785,False
98,94,128,-0.002349526639485868,False
99,123,82,0.003072081522553574,False
100,109,125,-0.0009787129924149743,False
101,49,95,-0.0038623005877413937,False
102,93,120,-0.0020241397406102406,False
103,67,96,-0.0020339458549586196,False
104,57,93,-0.0026254375729288216,False
105,48,82,-0.0030827817571856017,False
106,48,88,-0.0037868029915743636,False
107,58,80,-0.002262908866488377,False
108,74,160,-0.005844376486578321,False
109,57,118,-0.0049440752147835955,False
110,70,110,-0.003300874731803928,False
111,70,117,-0.004484304932735426,False
112,64,102,-0.003099763439105963,False
113,59,81,-0.0022375915378356386,False
114,65,160,-0.007034952606635071,False
115,46,67,-0.0021345801992274853,False
116,53,105,-0.005403720253559181,False
117,58,91,-0.002846790890269151,False
118,62,91,-0.0024421052631578948,False
119,61,94,-0.0023477518497438815,False
120,49,66,-0.0015870052277819268,False
121,62,76,-0.0013247539742619228,False
122,62,67,-0.0005455537370430987,False
123,57,93,-0.003501945525291829,False
124,45,95,-0.0037804324814758807,False
125,45,51,-0.0005359535506922733,False
126,60,99,-0.003433703116745906,False
127,46,95,-0.004789365653406314,False
128,42,132,-0.007486275162202629,False
129,60,108,-0.003981750311074243,False
130,52,70,-0.0016686752572541022,False
131,49,68,-0.0019141648196655248,False
132,42,73,-0.003898880643944158,False
133,41,90,-0.0042226818338503965,False
134,36,108,-0.006427997500223194,False
